#Radius	P-velocity (km/s)
 6371.0000     5.8000
 6368.0000     5.8000
 6368.0000     5.8000
 6356.0000     5.8000
 6356.0000     6.8000
 6346.6000     6.8000
 6346.6000     8.1106
 6331.0000     8.1012
 6311.0000     8.0891
 6291.0000     8.0769
 6291.0000     8.0769
 6256.0000     8.0554
 6221.0000     8.0337
 6186.0000     8.0118
 6151.0000     7.9897
 6151.0000     8.5590
 6106.0000     8.6455
 6061.0000     8.7321
 6016.0000     8.8187
 5971.0000     8.9052
 5971.0000     9.1340
 5921.0000     9.3899
 5871.0000     9.6459
 5821.0000     9.9018
 5771.0000    10.1578
 5771.0000    10.1578
 5736.0000    10.2120
 5701.0000    10.2662
 5701.0000    10.7513
 5650.0000    10.9101
 5600.0000    11.0656
 5600.0000    11.0656
 5500.0000    11.2449
 5400.0000    11.4156
 5300.0000    11.5783
 5200.0000    11.7336
 5100.0000    11.8821
 5000.0000    12.0245
 4900.0000    12.1613
 4800.0000    12.2932
 4700.0000    12.4208
 4600.0000    12.5447
 4500.0000    12.6655
 4400.0000    12.7839
 4300.0000    12.9004
 4200.0000    13.0158
 4100.0000    13.1305
 4000.0000    13.2453
 3900.0000    13.3607
 3800.0000    13.4774
 3700.0000    13.5960
 3630.0000    13.6804
 3630.0000    13.6804
 3600.0000    13.6875
 3500.0000    13.7117
 3480.0000    13.7166
